corpusId,year,title,journal,doi,pmid,source
BK0218,2014,Critical role of endoplasmic reticulum aminopeptidase 1 in determining the length and sequence of peptides bound and presented by HLA-B27.,"Arthritis & rheumatology (Hoboken, N.J.)",10.1002/art.38249,24504800,MED
BK0219,2014,Discovery and validation of biomarkers to guide clinical management of pneumonia in African children.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,10.1093/cid/ciu202,24696240,MED
BK0220,2014,Free IL-12p40 monomer is a polyfunctional adaptor for generating novel IL-12-like heterodimers extracellularly.,"Journal of immunology (Baltimore, Md. : 1950)",10.4049/jimmunol.1400159,24821971,MED
BK0221,2014,Genetic control of differential acetylation in diabetic rats.,PloS one,10.1371/journal.pone.0094555,24743600,MED
BK0222,2014,GOAT--a simple LC-MS/MS gradient optimization tool.,Proteomics,10.1002/pmic.201300524,24723505,MED
BK0223,2014,Hydroxylation of the eukaryotic ribosomal decoding center affects translational accuracy.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1311750111,24550462,MED
BK0224,2014,Jumonji domain containing protein 6 (Jmjd6) modulates splicing and specifically interacts with arginine-serine-rich (RS) domains of SR- and SR-like proteins.,Nucleic acids research,10.1093/nar/gku488,24914048,MED
BK0225,2014,OGFOD1 catalyzes prolyl hydroxylation of RPS23 and is involved in translation control and stress granule formation.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1314482111,24550447,MED
BK0226,2014,Optimal translational termination requires C4 lysyl hydroxylation of eRF1.,Molecular cell,10.1016/j.molcel.2013.12.028,24486019,MED
BK0227,2014,Selective and reversible inhibitors of ubiquitin-specific protease 7: a patent evaluation (WO2013030218).,Expert opinion on therapeutic patents,10.1517/13543776.2014.882320,24456106,MED
BK0228,2014,Signal-peptide-mediated translocation is regulated by a p97-AIRAPL complex.,The Biochemical journal,10.1042/bj20130710,24160817,MED
BK0229,2014,The Succinated Proteome of FH-Mutant Tumours.,Metabolites,10.3390/metabo4030640,25105836,MED
BK0230,2014,The treatment and outcome of peri-prosthetic infection of the ankle: a single cohort-centre experience of 34 cases.,The bone & joint journal,10.1302/0301-620x.96b6.33298,24891577,MED
BK0231,2014,Variant PRC1 complex-dependent H2A ubiquitylation drives PRC2 recruitment and polycomb domain formation.,Cell,10.1016/j.cell.2014.05.004,24856970,MED
BK0232,2013,A regulatory circuit that involves HR23B and HDAC6 governs the biological response to HDAC inhibitors.,Cell death and differentiation,10.1038/cdd.2013.47,23703321,MED
BK0233,2013,Arginine methylation-dependent reader-writer interplay governs growth control by E2F-1.,Molecular cell,10.1016/j.molcel.2013.08.039,24076217,MED
BK0234,2013,Deubiquitinating enzyme specificity for ubiquitin chain topology profiled by di-ubiquitin activity probes.,Chemistry & biology,10.1016/j.chembiol.2013.10.012,24290882,MED
BK0235,2013,DNA modification under mild conditions by Suzuki-Miyaura cross-coupling for the generation of functional probes.,Angewandte Chemie (International ed. in English),10.1002/anie.201304038,23943570,MED
BK0236,2013,Effective control of recalcitrant pruritus by bevacizumab: a possible role for vascular endothelial growth factor in chronic itch?,Acta dermato-venereologica,10.2340/00015555-1445,22930318,MED
BK0237,2013,Inhibition of mitochondrial aconitase by succination in fumarate hydratase deficiency.,Cell reports,10.1016/j.celrep.2013.02.013,23499446,MED
BK0238,2013,Learning to Use an Alphabetic Writing System.,Language learning and development : the official journal of the Society for Language Development,10.1080/15475441.2013.812016,24077986,MED
BK0239,2013,PfHPRT: a new biomarker candidate of acute Plasmodium falciparum infection.,Journal of proteome research,10.1021/pr300858g,23339668,MED
BK0240,2013,Processing of human toll-like receptor 7 by furin-like proprotein convertases is required for its accumulation and activity in endosomes.,Immunity,10.1016/j.immuni.2013.09.004,24138882,MED
BK0241,2013,Protein profiling in hepatocellular carcinoma by label-free quantitative proteomics in two west African populations.,PloS one,10.1371/journal.pone.0068381,23935864,MED
BK0242,2013,Proteomic analysis reveals a proteolytic feedback loop in murine seminal fluid.,The Prostate,10.1002/pros.22690,23765702,MED
BK0243,2013,QuaNCAT: quantitating proteome dynamics in primary cells.,Nature methods,10.1038/nmeth.2401,23474466,MED
BK0244,2013,Restoring p53 function in human melanoma cells by inhibiting MDM2 and cyclin B1/CDK1-phosphorylated nuclear iASPP.,Cancer cell,10.1016/j.ccr.2013.03.013,23623661,MED
BK0245,2013,The polyserine domain of the lysyl-5 hydroxylase Jmjd6 mediates subnuclear localization.,The Biochemical journal,10.1042/bj20130529,23688307,MED
BK0246,2013,The PR/SET domain zinc finger protein Prdm4 regulates gene expression in embryonic stem cells but plays a nonessential role in the developing mouse embryo.,Molecular and cellular biology,10.1128/mcb.00498-13,23918801,MED
BK0247,2013,Tsc1 (hamartin) confers neuroprotection against ischemia by inducing autophagy.,Nature medicine,10.1038/nm.3097,23435171,MED
BK0248,2013,Two birds with one stone: doing metabolomics with your proteomics kit.,Proteomics,10.1002/pmic.201300192,24155035,MED
BK0249,2013,Ubiquitin - omics reveals novel networks and associations with human disease.,Current opinion in chemical biology,10.1016/j.cbpa.2012.12.024,23339974,MED
BK0250,2012,A pivotal heme-transfer reaction intermediate in cytochrome c biogenesis.,The Journal of biological chemistry,10.1074/jbc.m111.313692,22121193,MED
BK0251,2012,A small molecule inhibitor of ubiquitin-specific protease-7 induces apoptosis in multiple myeloma cells and overcomes bortezomib resistance.,Cancer cell,10.1016/j.ccr.2012.08.007,22975377,MED
BK0252,2012,Arginine methylation controls growth regulation by E2F-1.,The EMBO journal,10.1038/emboj.2012.17,22327218,MED
BK0253,2012,ATM-dependent downregulation of USP7/HAUSP by PPM1G activates p53 response to DNA damage.,Molecular cell,10.1016/j.molcel.2012.01.021,22361354,MED
BK0254,2012,Detection of BK virus in urine from renal transplant subjects by mass spectrometry.,Clinical proteomics,10.1186/1559-0275-9-4,22537312,MED
BK0255,2012,Detection of multiple autoantibodies in patients with ankylosing spondylitis using nucleic acid programmable protein arrays.,Molecular & cellular proteomics : MCP,10.1074/mcp.m9.00384,22311593,MED
BK0256,2012,Detection of ubiquitin-proteasome enzymatic activities in cells: application of activity-based probes to inhibitor development.,Biochimica et biophysica acta,10.1016/j.bbamcr.2012.05.014,22613766,MED
BK0257,2012,Discovery of candidate serum proteomic and metabolomic biomarkers in ankylosing spondylitis.,Molecular & cellular proteomics : MCP,10.1074/mcp.m111.013904,21997733,MED
BK0258,2012,Fluorescence-based active site probes for profiling deubiquitinating enzymes.,Organic & biomolecular chemistry,10.1039/c2ob25258a,22453277,MED
BK0259,2012,HIV-1 infection-induced apoptotic microparticles inhibit human DCs via CD44.,The Journal of clinical investigation,10.1172/jci64439,23160198,MED
BK0260,2012,Human TNF-related apoptosis-inducing ligand-expressing dendritic cells from transgenic pigs attenuate human xenogeneic T cell responses.,Xenotransplantation,10.1111/j.1399-3089.2011.00688.x,22360752,MED
BK0261,2012,Inactivation and inducible oncogenic mutation of p53 in gene targeted pigs.,PloS one,10.1371/journal.pone.0043323,23071491,MED
BK0262,2012,KDM2B links the Polycomb Repressive Complex 1 (PRC1) to recognition of CpG islands.,eLife,10.7554/elife.00205,23256043,MED
BK0263,2012,OS045. Multi-dimensional protein identification technology analysis of syncytiotrophoblast vesicles released from perfused preeclampsia placentas.,Pregnancy hypertension,10.1016/j.preghy.2012.04.046,26105259,MED
BK0264,2012,Oxygenase-catalyzed ribosome hydroxylation occurs in prokaryotes and humans.,Nature chemical biology,10.1038/nchembio.1093,23103944,MED
BK0265,2012,Phosphorylation of PNKP by ATM prevents its proteasomal degradation and enhances resistance to oxidative stress.,Nucleic acids research,10.1093/nar/gks909,23042680,MED
BK0266,2012,Proteomic identification of host and parasite biomarkers in saliva from patients with uncomplicated Plasmodium falciparum malaria.,Malaria journal,10.1186/1475-2875-11-178,22640863,MED
BK0267,2012,Sequential targeting of CFTR by BAC vectors generates a novel pig model of cystic fibrosis.,"Journal of molecular medicine (Berlin, Germany)",10.1007/s00109-011-0839-y,22170306,MED
BK0268,2012,The FIH hydroxylase is a cellular peroxide sensor that modulates HIF transcriptional activity.,EMBO reports,10.1038/embor.2012.9,22310300,MED
BK0269,2012,Ubiquitin ligase UBR3 regulates cellular levels of the essential DNA repair protein APE1 and is required for genome stability.,Nucleic acids research,10.1093/nar/gkr744,21933813,MED
BK0270,2011,A photoreactive small-molecule probe for 2-oxoglutarate oxygenases.,Chemistry & biology,10.1016/j.chembiol.2011.03.007,21609845,MED
BK0271,2011,Aberrant succination of proteins in fumarate hydratase-deficient mice and HLRCC patients is a robust biomarker of mutation status.,The Journal of pathology,10.1002/path.2932,21630274,MED
BK0272,2011,Activity-based chemical proteomics accelerates inhibitor development for deubiquitylating enzymes.,Chemistry & biology,10.1016/j.chembiol.2011.08.018,22118674,MED
BK0273,2011,Asparagine and aspartate hydroxylation of the cytoskeletal ankyrin family is catalyzed by factor-inhibiting hypoxia-inducible factor.,The Journal of biological chemistry,10.1074/jbc.m110.193540,21177872,MED
BK0274,2011,Comparative evaluation of label-free SINQ normalized spectral index quantitation in the central proteomics facilities pipeline.,Proteomics,10.1002/pmic.201000800,21656681,MED
BK0275,2011,Crystal structures of the endoplasmic reticulum aminopeptidase-1 (ERAP1) reveal the molecular basis for N-terminal peptide trimming.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1101262108,21508329,MED
BK0276,2011,Dia2 controls transcription by mediating assembly of the RSC complex.,PloS one,10.1371/journal.pone.0021172,21701592,MED
BK0277,2011,Differential sensitivity of hypoxia inducible factor hydroxylation sites to hypoxia and hydroxylase inhibitors.,The Journal of biological chemistry,10.1074/jbc.m110.211110,21335549,MED
BK0278,2011,E3 ligases determine ubiquitination site and conjugate type by enforcing specificity on E2 enzymes.,The Journal of biological chemistry,10.1074/jbc.m111.234559,21965653,MED
BK0279,2011,Factor-inhibiting hypoxia-inducible factor (FIH) catalyses the post-translational hydroxylation of histidinyl residues within ankyrin repeat domains.,The FEBS journal,10.1111/j.1742-4658.2011.08022.x,21251231,MED
BK0280,2011,Interplay between lysine methylation and Cdk phosphorylation in growth control by the retinoblastoma protein.,The EMBO journal,10.1038/emboj.2010.311,21119616,MED
BK0281,2011,Label-free quantitative proteomics reveals differentially regulated proteins influencing urolithiasis.,Molecular & cellular proteomics : MCP,10.1074/mcp.m110.005686,21474797,MED
BK0282,2011,Label-free quantitative proteomics reveals regulation of interferon-induced protein with tetratricopeptide repeats 3 (IFIT3) and 5'-3'-exoribonuclease 2 (XRN2) during respiratory syncytial virus infection.,Virology journal,10.1186/1743-422x-8-442,21933386,MED
BK0283,2011,"Pharmacological targets in the ubiquitin system offer new ways of treating cancer, neurodegenerative disorders and infectious diseases.",Expert reviews in molecular medicine,10.1017/s1462399411002031,22088887,MED
BK0284,2011,Photoactivable peptides for identifying enzyme-substrate and protein-protein interactions.,"Chemical communications (Cambridge, England)",10.1039/c0cc04457a,21152646,MED
BK0285,2011,PTMs in conversation: activity and function of deubiquitinating enzymes regulated via post-translational modifications.,Cell biochemistry and biophysics,10.1007/s12013-011-9176-6,21480003,MED
BK0286,2011,Quantitative mass spectrometry reveals dynamics of factor-inhibiting hypoxia-inducible factor-catalyzed hydroxylation.,The Journal of biological chemistry,10.1074/jbc.m111.262808,21808058,MED
BK0287,2011,Renal cyst formation in Fh1-deficient mice is independent of the Hif/Phd pathway: roles for fumarate in KEAP1 succination and Nrf2 signaling.,Cancer cell,10.1016/j.ccr.2011.09.006,22014577,MED
BK0288,2011,Studies on the reaction of nitric oxide with the hypoxia-inducible factor prolyl hydroxylase domain 2 (EGLN1).,Journal of molecular biology,10.1016/j.jmb.2011.04.075,21601578,MED
BK0289,2011,The antiviral efficacy of HIV-specific CD8⁺ T-cells to a conserved epitope is heavily dependent on the infecting HIV-1 isolate.,PLoS pathogens,10.1371/journal.ppat.1001341,21589893,MED
BK0290,2011,The chemoselective one-step alkylation and isolation of thiophosphorylated cdk2 substrates in the presence of native cysteine.,Chembiochem : a European journal of chemical biology,10.1002/cbic.201000528,21305681,MED
BK0291,2011,The SOCS2 ubiquitin ligase complex regulates growth hormone receptor levels.,PloS one,10.1371/journal.pone.0025358,21980433,MED
BK0292,2011,Urinary peptide profiling identifies a panel of putative biomarkers for diagnosing and staging endometriosis.,Fertility and sterility,10.1016/j.fertnstert.2010.11.066,21255776,MED
BK0293,2011,USP47 is a deubiquitylating enzyme that regulates base excision repair by controlling steady-state levels of DNA polymerase β.,Molecular cell,10.1016/j.molcel.2011.02.016,21362556,MED
BK0294,2010,Assessing the quality and reproducibility of a proteomic platform for clinical stroke biomarker discovery.,Translational stroke research,10.1007/s12975-010-0036-2,24323556,MED
BK0295,2010,Challenges ahead for mass spectrometry and proteomics applications in epigenetics.,Epigenomics,10.2217/epi.09.37,22122752,MED
BK0296,2010,Cks1 activates transcription by binding to the ubiquitylated proteasome.,Molecular and cellular biology,10.1128/mcb.00655-09,20516216,MED
BK0297,2010,CPFP: a central proteomics facilities pipeline.,"Bioinformatics (Oxford, England)",10.1093/bioinformatics/btq081,20189941,MED
BK0298,2010,Elevation of intact and proteolytic fragments of acute phase proteins constitutes the earliest systemic antiviral response in HIV-1 infection.,PLoS pathogens,10.1371/journal.ppat.1000893,20463814,MED
BK0299,2010,Experience of islet isolation without neutral protease supplementation.,Islets,10.4161/isl.2.5.12602,21099325,MED
BK0300,2010,Loss of autophagy in erythroid cells leads to defective removal of mitochondria and severe anemia in vivo.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0913170107,20080761,MED
BK0301,2010,Loss of the tumor suppressor CYLD enhances Wnt/beta-catenin signaling through K63-linked ubiquitination of Dvl.,Molecular cell,10.1016/j.molcel.2010.01.035,20227366,MED
BK0302,2010,Matrix metalloproteinase-9 regulates tumor cell invasion through cleavage of protease nexin-1.,Cancer research,10.1158/0008-5472.can-10-0242,20736374,MED
BK0303,2010,Mitochondrial proteome analysis reveals altered expression of voltage dependent anion channels in pancreatic β-cells exposed to high glucose.,Islets,10.4161/isl.2.5.12639,21099326,MED
BK0304,2010,"Muscle wasting in aged, sarcopenic rats is associated with enhanced activity of the ubiquitin proteasome pathway.",The Journal of biological chemistry,10.1074/jbc.m110.129718,20940294,MED
BK0305,2010,New mechanism for Notch signaling to endothelium at a distance by Delta-like 4 incorporation into exosomes.,Blood,10.1182/blood-2009-08-239228,20558614,MED
BK0306,2010,Post-translational modification of the deubiquitinating enzyme otubain 1 modulates active RhoA levels and susceptibility to Yersinia invasion.,The FEBS journal,10.1111/j.1742-4658.2010.07665.x,20553488,MED
BK0307,2010,Probing the proteasome cavity in three steps: bio-orthogonal photo-reactive suicide substrates.,"Chemical communications (Cambridge, England)",10.1039/c0cc03322g,20981375,MED
BK0308,2010,Proteomic analysis of human adipose tissue after rosiglitazone treatment shows coordinated changes to promote glucose uptake.,"Obesity (Silver Spring, Md.)",10.1038/oby.2009.208,19556978,MED
BK0309,2010,Small-molecule-based inhibition of histone demethylation in cells assessed by quantitative mass spectrometry.,Journal of proteome research,10.1021/pr100269b,20583823,MED
BK0310,2010,Tyrosine dephosphorylation is required for Bak activation in apoptosis.,The EMBO journal,10.1038/emboj.2010.244,20959805,MED
BK0311,2009,A broad screen for targets of immune complexes decorating arthritic joints highlights deposition of nucleosomes in rheumatoid arthritis.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0908032106,19720992,MED
BK0312,2009,Ankylosing spondylitis monocytes show upregulation of proteins involved in inflammation and the ubiquitin proteasome pathway.,Annals of the rheumatic diseases,10.1136/ard.2008.097204,18952638,MED
BK0313,2009,Comparison of CID versus ETD based MS/MS fragmentation for the analysis of protein ubiquitination.,Journal of the American Society for Mass Spectrometry,10.1016/j.jasms.2009.04.023,19523847,MED
BK0314,2009,In vitro binding of HFE to the cation-independent mannose-6 phosphate receptor.,"Blood cells, molecules & diseases",10.1016/j.bcmd.2009.03.010,19487139,MED
BK0315,2009,"Jmjd6 catalyses lysyl-hydroxylation of U2AF65, a protein associated with RNA splicing.","Science (New York, N.Y.)",10.1126/science.1175865,19574390,MED
BK0316,2009,Proteomics-based identification of novel factor inhibiting hypoxia-inducible factor (FIH) substrates indicates widespread asparaginyl hydroxylation of ankyrin repeat domain-containing proteins.,Molecular & cellular proteomics : MCP,10.1074/mcp.m800340-mcp200,18936059,MED
BK0317,2009,Structural basis and specificity of human otubain 1-mediated deubiquitination.,The Biochemical journal,10.1042/bj20081318,18954305,MED
BK0318,2009,Ubiquitin ligase ARF-BP1/Mule modulates base excision repair.,The EMBO journal,10.1038/emboj.2009.243,19713937,MED
BK0319,2008,Arginine methylation regulates the p53 response.,Nature cell biology,10.1038/ncb1802,19011621,MED
BK0320,2008,ATM and Chk2 kinase target the p53 cofactor Strap.,EMBO reports,10.1038/embor.2008.186,18833288,MED
BK0321,2008,Novel MMP-9 substrates in cancer cells revealed by a label-free quantitative proteomics approach.,Molecular & cellular proteomics : MCP,10.1074/mcp.m800095-mcp200,18596065,MED
BK0322,2008,Odin (ANKS1A) is a Src family kinase target in colorectal cancer cells.,Cell communication and signaling : CCS,10.1186/1478-811x-6-7,18844995,MED
BK0323,2008,Ubiquitin and ubiquitin-like specific proteases targeted by infectious pathogens: Emerging patterns and molecular principles.,Biochimica et biophysica acta,10.1016/j.bbadis.2008.08.010,18817868,MED
BK0324,2007,A cell-permeable inhibitor and activity-based probe for the caspase-like activity of the proteasome.,Bioorganic & medicinal chemistry letters,10.1016/j.bmcl.2007.03.092,17442566,MED
BK0325,2007,A novel cytosolic class I antigen-processing pathway for endoplasmic-reticulum-targeted proteins.,EMBO reports,10.1038/sj.embor.7401065,17853904,MED
BK0326,2007,Activation of the lectin DC-SIGN induces an immature dendritic cell phenotype triggering Rho-GTPase activity required for HIV-1 replication.,Nature immunology,10.1038/ni1470,17496896,MED
BK0327,2007,Asparaginyl hydroxylation of the Notch ankyrin repeat domain by factor inhibiting hypoxia-inducible factor.,The Journal of biological chemistry,10.1074/jbc.m704102200,17573339,MED
BK0328,2007,Interaction of hydroxylated collagen IV with the von hippel-lindau tumor suppressor.,The Journal of biological chemistry,10.1074/jbc.m611648200,17339318,MED
BK0329,2007,Iron load and redox stress in skeletal muscle of aged rats.,Muscle & nerve,10.1002/mus.20808,17503500,MED
BK0330,2007,Loss of Aire-dependent thymic expression of a peripheral tissue antigen renders it a target of autoimmunity.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0700259104,17360567,MED
BK0331,2007,Proteome changes induced by knock-down of the deubiquitylating enzyme HAUSP/USP7.,Journal of proteome research,10.1021/pr0702161,17927229,MED
BK0332,2006,Activation of the lectin pathway by natural IgM in a model of ischemia/reperfusion injury.,"Journal of immunology (Baltimore, Md. : 1950)",10.4049/jimmunol.177.7.4727,16982912,MED
BK0333,2006,Defining the T cell antigen proteome of wasp venom.,Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology,10.1111/j.1365-2222.2006.02569.x,17014436,MED
BK0334,2006,Gene expression analysis of B-lymphoma cells resistant and sensitive to bortezomib.,British journal of haematology,10.1111/j.1365-2141.2006.06132.x,16846475,MED
BK0335,2006,Identification of the target self-antigens in reperfusion injury.,The Journal of experimental medicine,10.1084/jem.20050390,16390934,MED
BK0336,2006,Putting proteomics on target: activity-based profiling of ubiquitin and ubiquitin-like processing enzymes.,Expert review of proteomics,10.1586/14789450.3.2.213,16608434,MED
BK0337,2006,Ultra-fast tandem mass spectrometry scanning combined with monolithic column liquid chromatography increases throughput in proteomic analysis.,Rapid communications in mass spectrometry : RCM,10.1002/rcm.2563,16773668,MED
BK0338,2005,A deubiquitinating enzyme encoded by HSV-1 belongs to a family of cysteine proteases that is conserved across the family Herpesviridae.,Molecular cell,10.1016/j.molcel.2005.07.003,16109378,MED
BK0339,2005,Activity probe for in vivo profiling of the specificity of proteasome inhibitor bortezomib.,Nature methods,10.1038/nmeth759,15846363,MED
BK0340,2005,Bioorthogonal organic chemistry in living cells: novel strategies for labeling biomolecules.,Organic & biomolecular chemistry,10.1039/b412558d,15602593,MED
BK0341,2005,Characterization of in vivo expanded OspA-specific human T-cell clones.,"Clinical immunology (Orlando, Fla.)",10.1016/j.clim.2005.02.015,15893699,MED
BK0342,2005,Effects of PS-341 on the activity and composition of proteasomes in multiple myeloma cells.,Cancer research,10.1158/0008-5472.can-05-0506,16140960,MED
BK0343,2005,Expression of PHA polymerase genes of Pseudomonas putida in Escherichia coli and its effect on PHA formation.,Antonie van Leeuwenhoek,10.1007/s10482-004-1360-x,15793618,MED
BK0344,2004,Acetylation of the C terminus of Ku70 by CBP and PCAF controls Bax-mediated apoptosis.,Molecular cell,10.1016/s1097-2765(04)00094-2,15023334,MED
BK0345,2004,Activity-based ubiquitin-specific protease (USP) profiling of virus-infected and malignant human cells.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.0308411100,14982996,MED
BK0346,2004,Applications for chemical probes of proteolytic activity.,Current protocols in protein science,10.1002/0471140864.ps2117s36,18429259,MED
BK0347,2004,Calorie restriction promotes mammalian cell survival by inducing the SIRT1 deacetylase.,"Science (New York, N.Y.)",10.1126/science.1099196,15205477,MED
